iter	Passed	Remaining
0	60	60069
1	60	30203
2	60	20240
3	61	15266
4	61	12277
5	62	10281
6	62	8855
7	62	7783
8	63	6951
9	63	6287
10	63	5745
11	64	5293
12	64	4908
13	65	4587
14	65	4306
15	65	4055
16	66	3832
17	66	3637
18	67	3459
19	67	3300
20	67	3157
21	68	3028
22	68	2908
23	68	2799
24	69	2699
25	69	2607
26	69	2521
27	70	2441
28	70	2367
29	71	2299
30	71	2234
31	71	2172
32	72	2119
33	72	2066
34	73	2015
35	73	1970
36	73	1924
37	74	1881
38	74	1840
39	75	1801
40	75	1764
41	75	1728
42	76	1696
43	76	1664
44	76	1633
45	77	1603
46	77	1575
47	78	1547
48	78	1521
49	78	1496
50	79	1472
51	79	1449
52	79	1427
53	80	1405
54	80	1385
55	80	1365
56	81	1345
57	81	1328
58	82	1310
59	82	1292
60	83	1277
61	83	1261
62	83	1245
63	84	1229
64	84	1214
65	84	1201
66	85	1187
67	85	1173
68	85	1159
69	86	1146
70	86	1135
71	87	1122
72	87	1112
73	88	1101
74	88	1091
75	88	1079
76	89	1068
77	89	1058
78	89	1048
79	90	1037
80	90	1028
81	91	1019
82	91	1007
83	91	998
84	91	990
85	92	981
86	92	973
87	93	965
88	93	957
89	93	950
90	94	942
91	94	934
92	95	926
93	95	919
94	95	912
95	96	905
96	96	898
97	96	891
98	97	884
99	97	878
100	97	871
101	98	865
102	98	859
103	99	853
104	99	847
105	99	841
106	100	836
107	100	831
108	101	825
109	101	820
110	101	814
111	102	809
112	102	803
113	102	800
114	103	795
115	103	790
116	104	785
117	104	780
118	104	776
119	105	771
120	105	766
121	105	761
122	106	756
123	106	751
124	106	747
125	107	743
126	107	738
127	107	734
128	108	730
129	108	726
130	108	722
131	109	719
132	109	715
133	110	711
134	110	707
135	110	703
136	111	699
137	111	696
138	111	692
139	112	689
140	112	685
141	112	681
142	113	678
143	113	674
144	113	671
145	114	668
146	114	665
147	115	662
148	115	658
149	115	655
150	116	652
151	116	649
152	116	646
153	117	643
154	117	640
155	117	637
156	118	635
157	118	633
158	119	630
159	119	627
160	119	623
161	120	620
162	120	618
163	120	615
164	121	612
165	121	610
166	122	610
167	122	608
168	123	605
169	123	603
170	124	601
171	124	598
172	124	596
173	125	593
174	125	591
175	125	589
176	126	587
177	126	585
178	127	582
179	127	580
180	127	578
181	128	576
182	128	574
183	128	572
184	129	569
185	129	567
186	129	565
187	130	562
188	130	561
189	131	558
190	131	556
191	131	554
192	132	552
193	132	550
194	132	548
195	133	546
196	133	545
197	134	543
198	134	542
199	135	540
200	135	538
201	135	536
202	136	534
203	136	532
204	136	530
205	137	529
206	137	527
207	138	525
208	138	523
209	138	522
210	139	520
211	139	518
212	139	516
213	140	515
214	140	513
215	141	512
216	141	510
217	141	509
218	142	507
219	142	505
220	142	503
221	143	502
222	143	500
223	144	499
224	144	497
225	144	495
226	145	494
227	145	492
228	145	491
229	146	489
230	146	487
231	146	486
232	147	484
233	147	483
234	147	481
235	148	480
236	148	478
237	149	477
238	149	475
239	149	474
240	150	472
241	150	471
242	150	470
243	151	468
244	151	467
245	151	465
246	152	464
247	152	463
248	153	461
